date,value
25/0/2015, 21312
26/0/2015, 33929
27/0/2015, 26135
28/0/2015, 27422
29/0/2015, 25184
30/0/2015, 22919
31/0/2015, 18146
1/1/2015, 19445
2/1/2015, 24761
3/1/2015, 33419
4/1/2015, 22995
5/1/2015, 28935
6/1/2015, 23289
7/1/2015, 19540
8/1/2015, 20792
9/1/2015, 24642
10/1/2015, 24331
11/1/2015, 39339
12/1/2015, 25742
13/1/2015, 27697
14/1/2015, 19041
15/1/2015, 21846
16/1/2015, 24782
17/1/2015, 24354
18/1/2015, 22628
19/1/2015, 24979
20/1/2015, 29514
21/1/2015, 20543
22/1/2015, 20579
23/1/2015, 23428
24/1/2015, 24385
25/1/2015, 24137
26/1/2015, 26283
27/1/2015, 30545
28/1/2015, 20811
1/2/2015, 18895
2/2/2015, 23297
3/2/2015, 25764
4/2/2015, 25007
5/2/2015, 24174
6/2/2015, 22774
7/2/2015, 19322
8/2/2015, 19396
9/2/2015, 23937
10/2/2015, 28378
11/2/2015, 25733
12/2/2015, 24527
13/2/2015, 25574
14/2/2015, 21952
15/2/2015, 24161
16/2/2015, 24071
17/2/2015, 36584
18/2/2015, 24807
19/2/2015, 31393
20/2/2015, 26773
21/2/2015, 23297
22/2/2015, 27846
23/2/2015, 34762
24/2/2015, 31576
25/2/2015, 35297
26/2/2015, 37079
27/2/2015, 36691
28/2/2015, 31697
29/2/2015, 31897
30/2/2015, 38669
31/2/2015, 35388
1/3/2015, 34237
2/3/2015, 29264
3/3/2015, 30317
4/3/2015, 27885
5/3/2015, 29227
6/3/2015, 29046
7/3/2015, 29994
8/3/2015, 37076
9/3/2015, 37353
10/3/2015, 28657
11/3/2015, 27225
12/3/2015, 25877
13/3/2015, 29205
14/3/2015, 30124
15/3/2015, 28598
16/3/2015, 34517
17/3/2015, 28275
18/3/2015, 25659
19/3/2015, 26993
20/3/2015, 28470
21/3/2015, 32701
22/3/2015, 30895
23/3/2015, 30202
24/3/2015, 35266
25/3/2015, 25715
26/3/2015, 36471
27/3/2015, 39066
28/3/2015, 31957
29/3/2015, 30639
30/3/2015, 29720
1/4/2015, 27237
2/4/2015, 25012
3/4/2015, 27042
4/4/2015, 29448
5/4/2015, 27820
6/4/2015, 29624
7/4/2015, 27526
8/4/2015, 25655
9/4/2015, 23791
10/4/2015, 31503
11/4/2015, 32317
12/4/2015, 30635
13/4/2015, 30934
14/4/2015, 31708
15/4/2015, 42997
16/4/2015, 32407
17/4/2015, 32810
18/4/2015, 34624
19/4/2015, 34750
20/4/2015, 30108
21/4/2015, 27578
22/4/2015, 29926
23/4/2015, 27166
24/4/2015, 27968
25/4/2015, 30637
26/4/2015, 34578
27/4/2015, 29218
28/4/2015, 23591
29/4/2015, 24045
30/4/2015, 23844
31/4/2015, 24048
1/5/2015, 27087
2/5/2015, 28566
3/5/2015, 34732
4/5/2015, 76661
5/5/2015, 28700
6/5/2015, 27936
7/5/2015, 26086
8/5/2015, 46002
9/5/2015, 43106
10/5/2015, 26645
11/5/2015, 52355
12/5/2015, 36988
13/5/2015, 21875
14/5/2015, 46935
15/5/2015, 28128
16/5/2015, 84152
17/5/2015, 35914
18/5/2015, 38557
19/5/2015, 28107
20/5/2015, 25438
21/5/2015, 23500
22/5/2015, 27394
23/5/2015, 28352
24/5/2015, 36725
25/5/2015, 26008
26/5/2015, 23984
27/5/2015, 23636
28/5/2015, 25663
29/5/2015, 40197
30/5/2015, 33375
1/6/2015, 29052
2/6/2015, 27119
3/6/2015, 25771
4/6/2015, 23847
5/6/2015, 24976
6/6/2015, 36903
7/6/2015, 29915
8/6/2015, 36474
9/6/2015, 30281
10/6/2015, 29616
11/6/2015, 24645
12/6/2015, 26775
13/6/2015, 42326
14/6/2015, 50267
15/6/2015, 38595
16/6/2015, 35125
17/6/2015, 29831
18/6/2015, 25985
19/6/2015, 25071
20/6/2015, 36888
21/6/2015, 30095
22/6/2015, 44651
23/6/2015, 33408
24/6/2015, 28664
25/6/2015, 21076
26/6/2015, 15592
27/6/2015, 30972
28/6/2015, 33519
29/6/2015, 37726
30/6/2015, 33018
31/6/2015, 27789
1/7/2015, 26960
2/7/2015, 24294
3/7/2015, 35036
4/7/2015, 34486
5/7/2015, 31470
6/7/2015, 35658
7/7/2015, 47467
8/7/2015, 29031
9/7/2015, 27132
10/7/2015, 27744
11/7/2015, 26653
12/7/2015, 29241
13/7/2015, 31087
14/7/2015, 30737
15/7/2015, 28722
16/7/2015, 24050
17/7/2015, 37040
18/7/2015, 28767
19/7/2015, 28539
20/7/2015, 36462
21/7/2015, 39012
22/7/2015, 34967
23/7/2015, 27692
24/7/2015, 34342
25/7/2015, 37941
26/7/2015, 33987
27/7/2015, 34558
28/7/2015, 39945
29/7/2015, 14768
30/7/2015, 32134
31/7/2015, 35949
1/8/2015, 37021
2/8/2015, 39013
3/8/2015, 42474
4/8/2015, 36321
5/8/2015, 29023
6/8/2015, 35583
7/8/2015, 38792
8/8/2015, 46889
9/8/2015, 16909
10/8/2015, 37882
11/8/2015, 38518
12/8/2015, 32205
13/8/2015, 40350
14/8/2015, 16262
15/8/2015, 20470
16/8/2015, 45085
17/8/2015, 33180
18/8/2015, 31747
19/8/2015, 39778
20/8/2015, 65535
21/8/2015, 59563
22/8/2015, 82378
23/8/2015, 42946
24/8/2015, 46527
25/8/2015, 41322
26/8/2015, 41039
27/8/2015, 30532
28/8/2015, 35355
29/8/2015, 40135
30/8/2015, 43080
1/9/2015, 41189
2/9/2015, 35561
3/9/2015, 49494
4/9/2015, 33909
5/9/2015, 32712
6/9/2015, 39541
7/9/2015, 38773
8/9/2015, 35461
9/9/2015, 30426
10/9/2015, 29433
11/9/2015, 27940
12/9/2015, 34146
13/9/2015, 31813
14/9/2015, 28030
15/9/2015, 37296
16/9/2015, 36070
17/9/2015, 31701
18/9/2015, 25220
19/9/2015, 35703
20/9/2015, 42914
21/9/2015, 38896
22/9/2015, 44027
23/9/2015, 37326
24/9/2015, 36013
25/9/2015, 30139
26/9/2015, 37096
27/9/2015, 50484
28/9/2015, 45782
29/9/2015, 45960
30/9/2015, 32577
31/9/2015, 35257
1/10/2015, 31402
2/10/2015, 35962
3/10/2015, 42652
4/10/2015, 54768
5/10/2015, 51405
6/10/2015, 43351
7/10/2015, 36433
8/10/2015, 39567
9/10/2015, 45103
10/10/2015, 43853
11/10/2015, 34774
12/10/2015, 38371
13/10/2015, 35364
14/10/2015, 30226
15/10/2015, 32216
16/10/2015, 35757
17/10/2015, 36957
18/10/2015, 40387
19/10/2015, 32915
20/10/2015, 33652
21/10/2015, 25295
22/10/2015, 17983
23/10/2015, 21268
24/10/2015, 20427
25/10/2015, 27288
26/10/2015, 24681
27/10/2015, 25861
28/10/2015, 25749
29/10/2015, 24219
30/10/2015, 26261
1/11/2015, 25143
2/11/2015, 23887
3/11/2015, 23460
4/11/2015, 22066
5/11/2015, 22531
6/11/2015, 22728
7/11/2015, 25413
8/11/2015, 24716
9/11/2015, 33862
10/11/2015, 25232
11/11/2015, 26210
12/11/2015, 23062
13/11/2015, 21459
14/11/2015, 32070
15/11/2015, 28842
16/11/2015, 27652
17/11/2015, 23729
18/11/2015, 24189
19/11/2015, 21372
20/11/2015, 19855
21/11/2015, 24803
22/11/2015, 25707
23/11/2015, 26011
24/11/2015, 23679
25/11/2015, 21240
26/11/2015, 21795
27/11/2015, 32284
28/11/2015, 31890
29/11/2015, 24417
30/11/2015, 26654
31/11/2015, 24012
1/0/2016, 20122
2/0/2016, 19715
3/0/2016, 19638
4/0/2016, 23308
5/0/2016, 27207
6/0/2016, 24615
7/0/2016, 24700
8/0/2016, 26040
9/0/2016, 20585
10/0/2016, 20755
11/0/2016, 23867
12/0/2016, 27110
13/0/2016, 27094
14/0/2016, 25568
15/0/2016, 31035
16/0/2016, 28097
17/0/2016, 25408
18/0/2016, 29308
19/0/2016, 24617
20/0/2016, 29720
21/0/2016, 29595
22/0/2016, 27533
23/0/2016, 23029
24/0/2016, 22635
25/0/2016, 25172
26/0/2016, 26057
27/0/2016, 28379
28/0/2016, 26070
29/0/2016, 29331
30/0/2016, 25049
31/0/2016, 27728
1/1/2016, 29309
2/1/2016, 26458
3/1/2016, 27023
