name,date,market_cap,volume,open,close
Bitcoin,2021-11-01,"
$1,159,841,954,948
","
$32,494,948,461
","
$61,472
","
N/A
"
Bitcoin,2021-10-31,"
$1,166,423,768,410
","
$31,810,216,330
","
$61,837
","
$61,472
"
Bitcoin,2021-10-30,"
$1,178,047,465,292
","
$38,648,967,245
","
$62,283
","
$61,837
"
Bitcoin,2021-10-29,"
$1,145,912,030,969
","
$52,318,597,557
","
$60,768
","
$62,283
"
Bitcoin,28-10-2021,"
$1,105,754,837,661
","
$43,976,252,157
","
$58,641
","d
$60,768
"
Bitcoin,2021-10-27,"
$1,143,497,865,065
","
$33,233,702,858
","
$60,604
","
$58,641
"
Bitcoin,2021-10-26,"
$1,192,131,994,833
","
$30,852,852,368
","
$63,228
","
$60,604
"
Bitcoin,2021-10-25,"
$1,153,315,262,663
","
$29,982,535,557
","
$61,173
","
$63,228
"
Bitcoin,2021-10-24,"
$1,161,166,467,847
","
$28,505,039,148
","
$61,572
","
$61,173
"
Bitcoin,2021-10-23,"
$1,151,508,584,005
","
$40,766,460,605
","
$61,029
","
$61,572
"
Bitcoin,2021-10-22,"
$1,178,926,819,141
","
$48,709,960,686
","
$62,541
","
$61,029
"
Bitcoin,2021-10-21,"
$1,250,376,460,616
","
$40,790,757,382
","
$66,238
","
$62,541
"
Bitcoin,2021-10-20,"
$1,217,582,580,303
","
$42,550,624,869
","
$64,518
","
$66,238
"
Bitcoin,2021-10-19,"
$1,173,944,883,530
","
$39,610,183,787
 ","
$62,018
","
$64,518
"
Bitcoin,2021-10-18,"
$1,160,650,121,142
","
$29,625,957,542
","
$61,584
","
$62,018
"
Bitcoin,2021-10-17,"
$1,153,847,028,825
","
$35,385,452,269
","
$61,166
","
$61,584
"
Bitcoin,2021-10-16,"
$1,164,782,155,730
","
$53,653,355,008
","
$61,809
","
$61,166
"
Bitcoin,2021-10-15,"
$1,082,900,149,763
","
$35,994,603,913
","
$57,452
","
$61,809
"
Bitcoin,2021-10-14,"
$1,083,366,079,899
","
$41,216,945,749
","
$57,488
","
$57,452
"
Bitcoin,2021-10-13,"
$1,061,829,863,954
","
$40,021,384,611
","
$56,335
","
$57,488
"
Bitcoin,2021-10-12,"
$1,084,736,227,838
","
$41,913,482,915
","
$57,573
","
$56,335
"
Bitcoin,2021-10-11,"
$1,030,788,036,762
","
$38,579,271,671
","
$54,712
","
$57,573
"
Bitcoin,2021-10-10,"
$1,038,524,699,061
","
$31,927,344,846
","
$55,125
","
$54,712
"
Bitcoin,2021-10-09,"
$1,016,650,501,581
","
$33,935,485,257
","
$54,011
","
$55,125
"
Bitcoin,2021-10-08,"
$1,015,246,512,239
","
$36,549,815,857
","
$53,895
","
$54,011
"
Bitcoin,2021-10-07,"
$1,044,675,252,844
","
$48,462,388,016
","
$55,415
","
$53,895
"
Bitcoin,2021-10-06,"
$973,040,988,103
","
$35,480,330,025
","
$51,669
","
$55,415
"
Bitcoin,2021-10-05,"
$927,812,140,868
","
$32,691,763,060
","
$49,260
","
$51,669
"
Bitcoin,2021-10-04,"
$910,331,395,887
","
$26,034,594,562
","
$48,283
","
$49,260
"
Bitcoin,2021-10-03,"
$900,582,483,713
","
$29,742,127,388
","
$47,778
","
$48,283
"
Bitcoin,2021-10-02,"
$906,929,641,889
","
$42,089,383,190
","
$48,182
","
$47,778
"
Bitcoin,2021-10-01,"
$827,840,965,060
","
$30,859,918,335
","
$43,859
","
$48,182
"
Bitcoin,2021-09-30,"
$782,626,384,092
","
$30,068,690,312
","
$41,588
","
$43,859
"
Bitcoin,2021-09-29,"
$775,534,111,089
","
$29,691,944,223
","
$41,010
","
$41,588
"
Bitcoin,2021-09-28,"
$794,889,951,096
","
$30,483,144,439
","
$42,247
","
$41,010
"
Bitcoin,2021-09-27,"
$825,341,135,636
","
$30,462,815,705
","
$43,337
","
$42,247
"
Bitcoin,2021-09-26,"
$808,279,417,023
","
$30,898,116,660
","
$42,857
","
$43,337
"
Bitcoin,2021-09-25,"
$809,772,498,813
","
$42,973,070,343
","
$42,752
","
$42,857
"
Bitcoin,September 24th 2021,"
$846,615,719,474
","
$33,594,750,550
","
$44,981
","
$42,752
"
Bitcoin,2021-09-23,"
$820,460,824,051
","
$36,624,234,960
","
$43,587
","
$44,981
"
Bitcoin,2021-09-22,"
$760,802,031,651
","
$45,940,419,565
","
$40,387
","
$43,587
"
Bitcoin,2021-09-21,"
$805,826,302,811
","
$41,220,025,454
","
$42,933
","
$40,387
"
Bitcoin,2021-09-20,"
$891,560,241,243
","
$26,163,167,369
","
$47,371
","
$42,933
"
Bitcoin,2021-09-19,"
$907,957,032,341
","
$27,630,476,158
","
$48,267
","
$47,371
"
Bitcoin,2021-09-18,"
$892,585,184,978
","
$27,731,209,179
","
$47,229
","
$48,267
"
Bitcoin,2021-09-17,"
$900,990,520,812
","
$31,578,783,375
","
$47,879
","
$47,229
"
Bitcoin,2021-09-16,"
$906,727,769,791
","
$30,037,816,650
","
$48,187
","
$47,879
"
Bitcoin,2021/09/15,"
$886,524,004,597
","
$38,645,575,966
","
$47,135
","
$48,187
"
Bitcoin,2021-09-14,"
$848,992,511,474
","
$40,683,028,028
","
$45,140
","
$47,135
"
