,0,1,2,3,4,5
0,Name,Date,Market Cap,Volume,Open,Close
69,Bitcoin,2021-08-25,902489541308.0,38387146175.0,47941.0,49003.0
70,Bitcoin,2021-08-24,930729196214.0,35800255386.0,49519.0,47941.0
71,Bitcoin,2021-08-23,925630106451.0,27110183703.0,49251.0,49519.0
72,Bitcoin,2021-08-22,920750216465.0,42147725293.0,48934.0,49251.0
73,Bitcoin,2021-08-21,923013359587.0,36497089237.0,49196.0,48934.0
74,Bitcoin,2021-08-20,867650725473.0,38434805723.0,46745.0,49196.0
75,Bitcoin,2021-08-19,847143004615.0,34668999388.0,45015.0,46745.0
76,Bitcoin,2021-08-18,836777066606.0,34488116651.0,44534.0,45015.0
77,Bitcoin,2021-08-17,866391335029.0,34221605780.0,46032.0,44534.0
78,Bitcoin,2021-08-16,882888202378.0,32863850458.0,47025.0,46032.0
79,Bitcoin,2021-08-15,886593539913.0,33294851811.0,47089.0,47025.0
80,Bitcoin,2021-08-14,895084141169.0,34320865037.0,47717.0,47089.0
81,Bitcoin,2021-08-13,836054770492.0,35838614930.0,44495.0,47717.0
82,Bitcoin,2021-08-12,857660568377.0,35679832771.0,45652.0,44495.0
83,Bitcoin,2021-08-11,854344953099.0,35669862362.0,45640.0,45652.0
84,Bitcoin,2021-08-10,861862844506.0,42726733998.0,46311.0,45640.0
85,Bitcoin,2021-08-09,821704814136.0,39633218479.0,43753.0,46311.0
86,Bitcoin,2021-08-08,838457486988.0,42725276705.0,44648.0,43753.0
87,Bitcoin,2021-08-07,803853127161.0,40840608017.0,42802.0,44648.0
88,Bitcoin,2021-08-06,768416417394.0,38527930905.0,40825.0,42802.0
89,Bitcoin,2021-08-05,747085951935.0,27751046040.0,39752.0,40825.0
90,Bitcoin,2021-08-04,720835141114.0,28422901237.0,38368.0,39752.0
91,Bitcoin,2021-08-03,737440183776.0,28057528866.0,39279.0,38368.0
92,Bitcoin,2021-08-02,747403845432.0,28555173662.0,39915.0,39279.0
93,Bitcoin,2021-08-01,784039345926.0,28437941447.0,41754.0,39915.0
94,Bitcoin,2021-07-31,786531956384.0,35530501783.0,41936.0,41754.0
95,Bitcoin,2021-07-30,750407963580.0,28717414113.0,39978.0,41936.0
96,Bitcoin,2021-07-29,751371299911.0,41369107423.0,40031.0,39978.0
97,Bitcoin,2021-07-28,732311951673.0,36401287454.0,39077.0,40031.0
98,Bitcoin,2021-07-27,701921012035.0,53550491998.0,37282.0,39077.0
99,Bitcoin,2021-07-26,664681184169.0,20929083221.0,35456.0,37282.0
100,Bitcoin,2021-07-25,642012590041.0,22120323672.0,34214.0,35456.0
101,Bitcoin,2021-07-24,627747173675.0,22937379735.0,33456.0,34214.0
102,Bitcoin,2021-07-23,607621607805.0,19741588059.0,32409.0,33456.0
103,Bitcoin,2021-07-22,605357009417.0,29070652060.0,32384.0,32409.0
104,Bitcoin,2021-07-21,561743228117.0,23000299062.0,29972.0,32384.0
105,Bitcoin,2021-07-20,580252472383.0,20095540828.0,30928.0,29972.0
106,Bitcoin,2021-07-19,597872278369.0,17742105808.0,31919.0,30928.0
107,Bitcoin,2021-07-18,592581931071.0,17715455995.0,31589.0,31919.0
108,Bitcoin,2021-07-17,588495008676.0,22671859963.0,31400.0,31589.0
109,Bitcoin,2021-07-16,595342431374.0,21557729227.0,31726.0,31400.0
110,Bitcoin,2021-07-15,616691143980.0,21779069066.0,32879.0,31726.0
111,Bitcoin,2021-07-14,613002045101.0,19932531700.0,32676.0,32879.0
112,Bitcoin,2021-07-13,623350567667.0,21683885321.0,33263.0,32676.0
113,Bitcoin,2021-07-12,643335853171.0,17798828844.0,34300.0,33263.0
114,Bitcoin,2021-07-11,632185737683.0,20558304484.0,33705.0,34300.0
115,Bitcoin,2021-07-10,637000370375.0,24282108111.0,33971.0,33705.0
116,Bitcoin,2021-07-09,617861633772.0,29065577X052.0,32934.0,33971.0
117,Bitcoin,2021-07-08,636246944189.0,23692220470.0,33932.0,32934.0
118,Bitcoin,2021-07-07,640405812762.0,26106856612.0,34150.0,33932.0
119,Bitcoin,2021-07-06,636061920915.0,25894820185.0,33928.0,34150.0
120,Bitcoin,2021-07-05,663571591568.0,22727930418.0,35394.0,33928.0
121,Bitcoin,2021-07-04,650382046625.0,22986053605.0,34730.0,35394.0
122,Bitcoin,2021-07-03,633684390026.0,25084046353.0,33951.0,34730.0
123,Bitcoin,2021-07-02,629863895572.0,29129630236.0,33678.0,33951.0
124,Bitcoin,2021-07-01,660200427590.0,31024153847.0,35171.0,33678.0
125,Bitcoin,2021-06-30,674231340724.0,35121257876.0,35969.0,35171.0
126,Bitcoin,2021-06-29,647741224117.0,32453802891.0,34557.0,35969.0
127,Bitcoin,2021-06-28,649262127990.0,34335452117.0,34607.0,34557.0
128,Bitcoin,2021-06-27,600235334321.0,36873109420.0,32024.0,34607.0
129,Bitcoin,2021-06-26,598703019611.0,38635245431.0,31943.0,32024.0
