date,name,market_cap,volume,open,close,%_market_cap,%_volume,%_open,%_close,time_stamps
2021-11-01,Bitcoin,1159841954948.0,32494948461.0,61472.0,61472.0,-0.564,2.153,-0.59,0.0,2021-12-03
2021-10-31,Bitcoin,1166423768410.0,31810216330.0,61837.0,61472.0,-0.987,-17.695,-0.716,-0.59,2021-12-03
2021-10-30,Bitcoin,1178047465292.0,38648967245.0,62283.0,61837.0,2.804,-26.128,2.493,-0.716,2021-12-03
2021-10-29,Bitcoin,1145912030969.0,52318597557.0,60768.0,62283.0,3.632,18.97,3.627,2.493,2021-12-03
2021-10-28,Bitcoin,1105754837661.0,43976252157.0,58641.0,60768.0,-3.301,32.324,-3.239,3.627,2021-12-03
2021-10-27,Bitcoin,1143497865065.0,33233702858.0,60604.0,58641.0,-4.08,7.717,-4.15,-3.239,2021-12-03
2021-10-26,Bitcoin,1192131994833.0,30852852368.0,63228.0,60604.0,3.366,2.903,3.359,-4.15,2021-12-03
2021-10-25,Bitcoin,1153315262663.0,29982535557.0,61173.0,63228.0,-0.676,5.183,-0.648,3.359,2021-12-03
2021-10-24,Bitcoin,1161166467847.0,28505039148.0,61572.0,61173.0,0.839,-30.077,0.89,-0.648,2021-12-03
2021-10-23,Bitcoin,1151508584005.0,40766460605.0,61029.0,61572.0,-2.326,-16.308,-2.418,0.89,2021-12-03
2021-10-22,Bitcoin,1178926819141.0,48709960686.0,62541.0,61029.0,-5.714,19.414,-5.581,-2.418,2021-12-03
2021-10-21,Bitcoin,1250376460616.0,40790757382.0,66238.0,62541.0,2.693,-4.136,2.666,-5.581,2021-12-03
2021-10-20,Bitcoin,1217582580303.0,42550624869.0,64518.0,66238.0,3.717,7.423,4.031,2.666,2021-12-03
2021-10-19,Bitcoin,1173944883530.0,39610183787.0,62018.0,64518.0,1.145,33.701,0.705,4.031,2021-12-03
2021-10-18,Bitcoin,1160650121142.0,29625957542.0,61584.0,62018.0,0.59,-16.276,0.683,0.705,2021-12-03
2021-10-17,Bitcoin,1153847028825.0,35385452269.0,61166.0,61584.0,-0.939,-34.048,-1.04,0.683,2021-12-03
2021-10-16,Bitcoin,1164782155730.0,53653355008.0,61809.0,61166.0,7.561,49.059,7.584,-1.04,2021-12-03
