date,count,percent_change,asset,source,created_ts
2014-06-09,14497.0,0.194742047140267,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-10,16631.0,0.14720286955921913,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-11,19356.0,0.16385064037039254,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-12,19092.0,-0.013639181649101051,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-13,19128.0,0.0018856065367693908,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-14,16078.0,-0.15945211208699284,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-15,15810.0,-0.016668739893021534,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-16,18430.0,0.16571790006325116,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-17,18560.0,0.007053716766142193,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-18,15957.0,-0.14024784482758623,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-19,17605.0,0.103277558438303,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-20,17459.0,-0.008293098551547806,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-21,15113.0,-0.1343719571567673,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-22,13838.0,-0.08436445444319463,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-23,16325.0,0.17972250325191497,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-24,17005.0,0.04165390505359867,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-25,17683.0,0.03987062628638638,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-26,17534.0,-0.008426172029633028,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-27,17587.0,0.0030226987567012475,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-28,15236.0,-0.13367828509694657,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-29,15482.0,0.016145970070884808,BTC,Twitter,2021-12-01 12:44:56.037479
2014-06-30,19860.0,0.28278000258364555,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-01,20443.0,0.02935548841893243,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-02,21375.0,0.04559017756689321,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-03,22046.0,0.03139181286549708,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-04,22659.0,0.02780549759593587,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-05,16997.0,-0.24987863542080413,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-06,17331.0,0.019650526563511184,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-07,22248.0,0.2837112688246495,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-08,24425.0,0.09785149226896794,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-09,24542.0,0.004790174002047065,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-10,23242.0,-0.052970418058837954,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-11,20939.0,-0.09908785818776356,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-12,16719.0,-0.20153780027699508,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-13,16133.0,-0.03504994317841981,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-14,20287.0,0.25748465877394167,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-15,25031.0,0.23384433380982905,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-16,21984.0,-0.12172905597059647,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-17,23305.0,0.060089155749636136,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-18,25897.0,0.11122076807552017,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-19,20261.0,-0.2176313858748118,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-20,16827.0,-0.16948817926064852,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-21,18501.0,0.0994829737921199,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-22,18386.0,-0.006215880222690706,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-23,20612.0,0.1210703796366801,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-24,20448.0,-0.007956530176596144,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-25,19971.0,-0.023327464788732377,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-26,16000.0,-0.1988383155575585,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-27,15621.0,-0.023687499999999972,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-28,23384.0,0.4969592215607195,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-29,21797.0,-0.06786691755046181,BTC,Twitter,2021-12-01 12:44:56.037479
2014-07-30,22092.0,0.01353397256503186,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-01,21585.0,,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-02,18531.0,-0.1414871438498958,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-03,17187.0,-0.07252711672332846,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-04,20609.0,0.1991039739337872,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-05,21073.0,0.022514435440826874,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-06,22471.0,0.06634081526123481,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-07,24516.0,0.09100618575052288,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-08,23126.0,-0.056697666829825466,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-09,21820.0,-0.056473233589898864,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-10,20814.0,-0.04610449129239225,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-11,21388.0,0.027577592005380902,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-12,22551.0,0.054376285767720134,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-13,23725.0,0.05205977561970654,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-14,24887.0,0.048977871443624865,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-15,22725.0,-0.08687266444328368,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-16,23487.0,0.033531353135313635,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-17,22608.0,-0.03742495848767402,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-18,21867.0,-0.03277600849256901,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-19,24106.0,0.10239173183335626,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-20,26924.0,0.11690035675765365,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-21,22176.0,-0.17634823948893186,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-22,21222.0,-0.04301948051948057,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-23,17389.0,-0.1806144566958816,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-24,16318.0,-0.06159066076255104,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-25,19062.0,0.16815786248314746,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-26,19596.0,0.02801384954359465,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-27,19625.0,0.0014798938558888697,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-28,22229.0,0.13268789808917192,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-29,19838.0,-0.10756219353097307,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-30,18905.0,-0.04703095070067542,BTC,Twitter,2021-12-01 12:44:56.037479
2014-08-31,17226.0,-0.0888124834699815,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-01,18661.0,0.08330430744223838,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-02,22901.0,0.2272118321633354,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-03,22113.0,-0.03440897777389629,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-04,24968.0,0.12910957355401798,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-05,22368.0,-0.10413329061198329,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-06,21053.0,-0.05878934191702434,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-07,17730.0,-0.15783973780458838,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-08,22751.0,0.28319232938522276,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-09,16169.0,-0.28930596457298585,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-10,16616.0,0.027645494464716425,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-11,27367.0,0.6470269619643716,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-12,24097.0,-0.11948697336207836,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-13,18209.0,-0.24434576918288586,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-14,18671.0,0.025372068757207877,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-15,23392.0,0.2528520164961705,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-16,21176.0,-0.09473324213406298,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-17,27946.0,0.3197015489233095,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-18,21135.0,-0.24372003148930077,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-19,20775.0,-0.017033356990773574,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-20,17607.0,-0.1524909747292419,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-21,17026.0,-0.03299823933662749,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-22,14984.0,-0.1199342182544344,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-23,23489.0,0.5676054458088629,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-24,20675.0,-0.1198007578015241,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-25,20757.0,0.003966142684401541,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-26,19512.0,-0.05997976586211884,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-27,17202.0,-0.11838868388683887,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-28,16636.0,-0.032903150796419034,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-29,19660.0,0.18177446501562877,BTC,Twitter,2021-12-01 12:44:56.037479
2014-09-30,21073.0,0.07187182095625633,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-01,18636.0,-0.11564561286954866,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-02,18380.0,-0.01373685340201758,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-03,20207.0,0.09940152339499453,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-04,18214.0,-0.09862918790518138,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-05,20031.0,0.09975842758317777,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-06,25065.0,0.25131046877340113,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-07,22543.0,-0.10061839218033108,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-08,24408.0,0.08273078117375676,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-09,24075.0,-0.013643067846607626,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-10,19090.0,-0.207061266874351,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-11,17107.0,-0.10387637506547931,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-12,17072.0,-0.0020459461039340487,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-13,22018.0,0.2897141518275539,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-14,25804.0,0.17195022254519032,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-15,23992.0,-0.07022167105875055,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-16,24445.0,0.018881293764588136,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-17,21491.0,-0.12084270812026998,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-18,20572.0,-0.04276208645479507,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-19,18259.0,-0.11243437682286606,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-20,23312.0,0.27674023769100176,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-21,22499.0,-0.03487474262182566,BTC,Twitter,2021-12-01 12:44:56.037479
