Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1302.300049,1317.599976,1302.300049,1313.699951,1313.699951,68.0
2018-01-03,1320.0,1320.099976,1312.099976,1316.199951,1316.199951,42.0
2018-01-04,1319.400024,1322.0,1319.400024,1319.400024,1319.400024,2.0
2018-01-05,1320.300049,1320.300049,1320.300049,1320.300049,1320.300049,1.0
2018-01-08,1319.900024,1319.900024,1314.599976,1318.599976,1318.599976,41.0
2018-01-09,1309.599976,1311.699951,1309.599976,1311.699951,1311.699951,16.0
2018-01-10,1320.300049,1320.699951,1315.300049,1317.400024,1317.400024,70.0
2018-01-11,1317.099976,1320.599976,1316.300049,1320.599976,1320.599976,9.0
2018-01-12,1327.800049,1338.199951,1327.800049,1333.400024,1333.400024,14.0
2018-01-16,1331.099976,1335.400024,1331.0,1335.400024,1335.400024,13.0
2018-01-17,1334.400024,1338.0,1326.800049,1338.0,1338.0,27.0
2018-01-18,1328.900024,1328.900024,1326.0,1326.0,1326.0,211.0
2018-01-19,1330.099976,1333.0,1330.099976,1331.900024,1331.900024,50.0
2018-01-22,1328.400024,1330.900024,1328.400024,1330.900024,1330.900024,162.0
2018-01-23,1335.800049,1335.900024,1335.699951,1335.699951,1335.699951,47.0
2018-01-24,1355.900024,1357.199951,1355.900024,1355.900024,1355.900024,18.0
2018-01-25,1356.300049,1362.400024,1346.699951,1362.400024,1362.400024,4.0
2018-01-26,1351.599976,1352.0,1350.900024,1351.599976,1351.599976,280546.0
2018-01-29,,,,,,
2018-01-30,1338.699951,1347.800049,1332.800049,1335.400024,1335.400024,52100.0
2018-01-31,1337.5,1346.900024,1331.800049,1339.0,1339.0,4881.0
2018-02-01,1343.800049,1350.599976,1336.800049,1344.300049,1344.300049,1680.0
2018-02-02,1348.5,1352.099976,1327.699951,1333.699951,1333.699951,2841.0
2018-02-05,1331.099976,1340.199951,1329.0,1333.0,1333.0,641.0
2018-02-06,1338.199951,1343.699951,1319.5,1326.099976,1326.099976,529.0
2018-02-07,1325.400024,1331.099976,1310.5,1311.599976,1311.599976,491.0
2018-02-08,1317.099976,1321.099976,1307.0,1316.900024,1316.900024,459.0
2018-02-09,1320.900024,1322.0,1311.900024,1313.099976,1313.099976,451.0
2018-02-12,1323.800049,1325.5,1318.0,1324.199951,1324.199951,140.0
2018-02-13,1324.5,1329.599976,1323.400024,1328.099976,1328.099976,71.0
2018-02-14,1332.800049,1355.5,1324.0,1355.5,1355.5,400.0
2018-02-15,1352.0,1355.900024,1349.699951,1352.099976,1352.099976,111.0
2018-02-16,1354.0,1361.400024,1344.900024,1353.199951,1353.199951,110.0
2018-02-20,1348.400024,1350.199951,1328.5,1328.800049,1328.800049,283.0
2018-02-21,1326.800049,1331.5,1324.400024,1330.0,1330.0,119.0
2018-02-22,1322.0,1331.400024,1322.0,1330.599976,1330.599976,70.0
